frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.checksum,tcp.flags.ack,tcp.len,tcp.connection.syn,tcp.connection.fin,tcp.connection.synack,tcp.connection.rst,http.content_length,http.response.code,http.response.phrase
"1.004011680",,,,,,,,,,,,,,,
"1.004011680",,,,,,,,,,,,,,,
"1.004037840","10.1.1.14","10.1.1.1","49153","80","0x0002","0x0000","0","0","1",,,,,,
"1.004052680",,,,,,,,,,,,,,,
"1.004052680",,,,,,,,,,,,,,,
"1.004078840","10.1.1.18","10.1.1.1","49153","80","0x0002","0x0000","0","0","1",,,,,,
"1.007037840",,,,,,,,,,,,,,,
"1.007062200",,,,,,,,,,,,,,,
"1.007062200","10.1.1.1","10.1.1.14","80","49153","0x0012","0x0000","1","0",,,"1",,,,
"1.007088840","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","0",,,,,,,
"1.007112520","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"1.007112520","10.1.1.1","10.1.1.14","80","49153","0x0010","0x0000","1","0",,,,,,,
"1.007120080","10.1.1.1","10.1.1.14","80","49153","0x0010","0x0000","1","243",,,,,"100","400","Bad Request"
"1.007177840","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","0",,,,,,,
"1.012078840",,,,,,,,,,,,,,,
"1.012103200",,,,,,,,,,,,,,,
"1.012103200","10.1.1.1","10.1.1.18","80","49153","0x0012","0x0000","1","0",,,"1",,,,
"1.012129840","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","0",,,,,,,
"1.012155680","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"1.012155680","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","0",,,,,,,
"1.012163240","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","162",,,,,"10","500","Internal Server Error"
"1.012218520","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","0",,,,,,,
"1.106011680",,,,,,,,,,,,,,,
"1.106011680",,,,,,,,,,,,,,,
"1.106037840","10.1.1.11","10.1.1.1","49153","80","0x0002","0x0000","0","0","1",,,,,,
"1.107112520","10.1.1.1","10.1.1.14","80","49153","0x0011","0x0000","1","0",,"1",,,,,
"1.107137840","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","0",,,,,,,
"1.109037840",,,,,,,,,,,,,,,
"1.109062200",,,,,,,,,,,,,,,
"1.109062200","10.1.1.1","10.1.1.11","80","49153","0x0012","0x0000","1","0",,,"1",,,,
"1.109088840","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","0",,,,,,,
